Industry,n,market_cap,cw_1W,ew_1W,med_1W,cw_1M,ew_1M,med_1M,cw_3M,ew_3M,med_3M,pct_positive_3M,cw_6M,ew_6M,med_6M,cw_12M,ew_12M,med_12M,pct_above_50dma,pct_above_200dma,pct_within_5pct_of_52wh,median_pct_from_52wh,median_pe,median_fwd_pe,median_div_yield,median_cy_growth,median_ny_growth,median_cq_growth,median_nq_growth,fwd_pe_over_ny_growth,Sector,rs_3m
oil-gas-refining-marketing,3,320972849152.0,-4.447475666215128,-4.412931453151407,-5.012087816896383,7.305511538791687,7.287381065270582,8.028385273085892,54.74033574621657,54.713980333886084,55.36668457761631,100.0,58.405548605016435,58.67522709626088,60.241082740647386,117.47564730778595,118.0893424058446,113.62491352722755,100.0,100.0,0.0,-8.286855599981479,14.6647625,10.122486,1.1849365,345.57002,-16.66,410.17003,235.36,-0.6075921968787515,energy,49.37502758971544
biotechnology,5,323285448704.0,6.49948450787825,7.090465061003588,3.8482954135995007,1.041136610834692,3.177050172938449,-0.6885198890756228,36.632719858461016,58.025044090840225,29.09767412309039,100.0,36.443605004082016,71.96710969170758,39.93227408335891,66.94539189031057,155.63433204692197,37.2737120548513,100.0,100.0,60.0,-2.3089298389259882,19.903442,14.285104,0.0,-12.1199995,24.260001,-125.41001,8.2399994,0.5888336113423903,healthcare,31.26741170195988
diagnostics-research,10,637023385600.0,2.92927800086209,2.2549790460330446,2.1671458119841502,2.153209839225534,1.419814192715948,2.3427812843613505,29.79912083615912,30.292094398839943,26.3390389591195,90.0,28.156474204412586,35.2651893920899,29.504469650469268,25.322431188691308,32.88548496723476,33.95165491001006,80.0,90.0,60.0,-3.4210824338361254,34.5317615,23.8431865,0.09749983000000001,10.505,9.870000000000001,9.82,9.9600005,2.41572304964539,healthcare,24.433812679657983
software-infrastructure,15,5571125548032.0,1.446294528560088,1.8373496342144462,1.0964781825070657,4.152168623387054,4.984221455325008,2.857716152694212,28.348049218503135,19.57999708141837,17.8431014836409,80.0,32.0349127996612,46.922520963578606,30.553028119305026,-4.139284028896661,24.512587368583798,7.393688250568031,80.0,86.66666666666667,26.666666666666668,-7.593354051566681,36.09315,21.034065,0.0,17.29,15.740000000000002,18.25,13.949998999999998,1.3363446632782716,technology,22.982741062002
software-application,15,1145142482944.0,-3.3315585556047744,-2.546420178835769,-3.1868167161513083,-4.508508473547823,-7.082808196491977,-7.993255389868603,18.4342260675181,18.674273832871847,18.096230680618586,86.66666666666667,7.832535937609553,10.167793466930233,3.4548983476735406,-23.036378065473084,-19.65692206784023,-28.731205823788475,40.0,40.0,0.0,-29.53047771078612,24.669718,15.863611,0.0,15.86,13.100000000000001,11.1899994,12.280000000000001,1.2109626717557251,technology,13.068917911016964
specialty-business-services,3,128646795264.0,-2.4639507837864283,-4.009388381724721,-4.720166800611214,-6.447065607969904,-8.772013417146336,-9.059755755739374,15.13122528418165,15.874664537317221,18.07844340330158,66.66666666666666,5.688483758901408,5.544559414729145,10.291021079515694,-10.875057156527168,-12.542533536527445,-0.7644478609623251,0.0,66.66666666666667,0.0,-10.344794200895791,40.180096,16.263767,0.9142624,11.765,11.87,9.92,11.63,1.3701572872788546,industrials,9.765917127680513
drug-manufacturers-general,9,3263902490624.0,2.6300378888622244,2.931900985748448,2.9953111701896296,-2.7589386922666215,-1.3644542720557273,-0.4911232184810155,13.138099544129211,15.999693507480767,14.2857131802693,100.0,23.049794314777984,20.185428553060348,18.864825050600075,49.496121096210466,48.73195548726027,47.72437708532924,77.77777777777777,100.0,66.66666666666667,-3.3186044885381794,36.75,15.82883,2.2207357,2.6300002,16.11,-12.379999999999999,20.65,0.9825468653010553,healthcare,7.772791387628075
medical-care-facilities,3,117141699584.0,2.583878713923715,0.3944122462990622,1.37969301578027,2.509670929297414,3.0761799643737113,2.2688787393194687,10.869035596081321,7.871215902022917,13.44148492867907,66.66666666666666,-8.076979534626238,1.730736641078597,-4.434898737152537,10.635643516131775,15.418489485792994,9.64872243261441,66.66666666666667,33.333333333333336,0.0,-23.754981697495914,14.692153,10.650201,0.45782304,4.54,8.58,-3.95,0.13999999999999999,1.2412821678321677,healthcare,5.503727439580185
medical-distribution,4,225295497216.0,-2.2303851186626145,-2.0824792327119033,-1.833294244073197,0.5939336567326148,-0.4311208146549145,-1.1720607555618878,10.137810432986495,8.806453878292944,10.612477587385971,75.0,2.858803582517444,6.455652835661446,4.957470921501317,26.556252060720475,29.04420820176632,28.483973790951367,25.0,75.0,25.0,-10.492217235776808,24.685277999999997,15.8242425,0.5562632,12.9250005,11.7950005,12.15500025,15.384999999999998,1.3416059202371378,healthcare,4.772502276485358
financial-data-stock-exchanges,10,589829147648.0,0.17534155722609412,0.7038094697779662,-0.7883300459203213,-4.47455438641321,-4.953758794037638,-5.662031343422508,9.4897735357806,10.402484907279225,8.678779148560134,80.0,-1.6602150841842356,1.2285869677855477,-0.06822334495036886,-14.710396828516393,-10.681016491741,-2.11704608316034,40.0,30.0,0.0,-14.44278088338422,22.132201000000002,20.049307499999998,1.1219271,11.475,11.33999975,8.8899997,10.34,1.7680165733689719,financial-services,4.124465379279464
internet-retail,3,2882207805440.0,2.4415364016658447,0.24874393356279687,1.1570860077058098,-1.7216729986974544,-3.3808730304636234,-1.4112860404295824,8.850968777651014,7.18890954482813,8.914610679926938,100.0,21.320022117352224,21.27245298926931,21.338153834647542,8.688772200586325,1.3587786186078366,10.152065160594015,33.333333333333336,100.0,0.0,-10.224630099797283,22.909853,23.601456,0.0,21.39,9.58,3.6999999999999997,25.019999999999996,2.463617536534447,consumer-cyclical,3.4856606211498775
credit-services,6,1564584097792.0,-3.6664798577886737,-3.6378141083367566,-3.33051954084167,-4.841143690565419,-7.712125041096584,-8.26164181273712,7.852190140977688,6.870374403460199,6.082352447244832,66.66666666666666,13.292829026322783,11.567129076121093,10.791799204002949,-1.776042551141166,-7.1619444984916525,-6.928969881765845,0.0,50.0,0.0,-18.462797319423867,14.771902999999998,12.1376375,1.0965483,9.485000000000001,13.695000499999999,4.68,11.895,0.886282369978738,financial-services,2.486881984476552
oil-gas-e-p,9,474502770688.0,-9.922517979933442,-8.93589296164518,-9.249382537153227,-7.583308158709146,-7.1702707797142775,-7.254126315526122,7.060939305857983,5.862859213472758,4.192325652787177,55.55555555555556,-5.716533391103429,-7.949115367443822,-2.7341664787000286,29.535171641970926,30.04820597629961,24.579699523263933,22.22222222222222,66.66666666666667,0.0,-12.778328811649564,11.788863,9.88029,2.2454694,55.65,-8.74,47.02,59.760000000000005,-1.1304679633867276,energy,1.6956311493568466
semiconductors,13,11037628646400.0,11.107733129859243,10.336752980163945,7.644008394346868,9.619343641958867,12.63628893014747,5.798480695842945,7.0167833641248345,-3.3838029682365787,-3.8551894989387048,30.76923076923077,48.96883517256727,68.70982194278201,30.604157327986293,55.41434589721479,115.7461035920287,44.11591719978063,61.53846153846154,69.23076923076923,23.076923076923077,-17.90067413560458,46.30723,18.80632,0.7169249,65.529996,27.12,63.2,69.32000000000001,0.6934483775811209,technology,1.6514752076236983
agricultural-inputs,3,79713949696.0,-5.376699618832859,-5.85157005610271,-3.657516577625042,-2.5049110504035466,-2.1157070037427355,-1.563466194260621,6.639089106573914,12.589908544851959,17.361574509730815,100.0,3.2737119627878064,3.2227463800838407,3.7767361003321565,14.083876007516615,11.516141452252745,14.443747683753717,33.333333333333336,100.0,0.0,-13.41280057551062,8.939214,15.807269,1.6224547999999999,12.740000000000002,30.320000000000004,-66.77,38.439997999999996,0.5213479221635883,basic-materials,1.2737809500727781
medical-instruments-supplies,8,300795441152.0,2.7603514775847326,1.2427375288400295,0.7709842000960532,-0.02048344271862179,-5.1425191407056685,-4.125168678679736,6.618785111421843,8.347145675525915,13.388596785190533,62.5,-2.625451347714125,11.98963180965307,8.297141875429775,0.312392358131075,8.577356101332228,9.866637178637916,62.5,50.0,37.5,-18.627166972137882,23.9575735,13.0209355,0.12023882000000001,9.0449997,7.42000015,3.80500005,9.6199995,1.754843023823928,healthcare,1.253476954920707
information-technology-services,10,454867494912.0,-6.113397935270692,-5.996949924830002,-5.689515823274371,-3.106171453098261,-5.444755757375241,-6.955216895424105,6.243763310369532,22.518518851883805,19.894387489419284,80.0,-6.451460161258005,-6.271072638062244,-5.882421280002831,-18.018769252134735,-21.763981448254217,-25.183169082144357,60.0,20.0,0.0,-31.703656858976164,15.6075445,11.598587,1.9535340499999998,8.885000000000002,8.4250005,5.710000099999999,6.805,1.3766868025705163,technology,0.878455153868396
medical-devices,10,628987623424.0,0.16742066545600842,0.39971385098721,0.8637607228243471,-9.323974583110061,-8.161951046009971,-8.875999884381802,5.94098112442083,6.002252645759111,3.560027391376741,70.0,-6.763517220263138,-4.545176541143307,-2.3653968123788505,-21.44901891147789,-14.144518589583804,-13.359318064091008,30.0,40.0,10.0,-21.981461342622705,25.8372715,16.749537500000002,0.61691388,8.9400001,9.88000025,9.580000199999999,9.959999999999999,1.6952972749165671,healthcare,0.5756729679196937
internet-content-information,3,10419946127360.0,3.1591631794718245,4.509925481711133,1.791406017442032,6.423120472954302,12.560902167409127,1.9040978748834148,5.3445959790473285,11.030469043078888,1.5184254513263884,100.0,17.365113985094972,18.292518310999696,16.39925184408899,27.142895114720034,23.2343434239299,36.46643416644413,100.0,100.0,33.333333333333336,-12.673090477006133,17.63737,23.344513,0.24225497999999998,90.76000499999999,-27.73,5.19,18.450001,-0.8418504507753335,communication-services,-0.020712177453807712
reit-healthcare-facilities,3,225171420160.0,-0.9971112365569579,-0.25175696757860166,-1.0182141145900103,-4.265994878139656,-4.5352408805467395,-3.691163692833599,5.1424493452989495,3.414078714797449,2.341282394047206,100.0,16.798654383771527,16.713585939003273,18.999606088897814,38.02987186083635,31.135632683544273,32.705844230020546,0.0,100.0,0.0,-8.825111018888487,103.3139,109.94936,2.2980582,64.14500000000001,55.559999999999995,14.39,5.1499999999999995,1.9789301655867533,real-estate,-0.22285881120218676
railroads,4,368789254144.0,-2.3732995771131304,-1.3506276670054134,-2.6578842841846475,-9.278125924504899,-8.265695103104958,-9.957232736929168,4.865286224522625,4.756006115553063,5.254382126607771,100.0,16.649474506292485,16.961993463354396,18.19876581343306,30.305821341665506,34.2414318923997,35.04589312925819,25.0,100.0,0.0,-11.145241757510927,26.950949,21.218123,1.46067265,16.5599992,11.815000000000001,14.785001000000001,20.2700005,1.795863140076174,industrials,-0.5000219319785115
insurance-life,4,172022189056.0,-2.164863879628154,-2.11542162824718,-2.284582700945043,-0.33993429196221836,-0.5789204771604883,-1.115472296438369,4.054224447240906,3.2462906952238244,3.298277637120306,50.0,24.18087083260032,25.232022430470778,25.89627955252395,17.028995022870163,17.49177231552273,18.523151795141334,25.0,100.0,50.0,-6.901327925918411,11.810133,9.520281,2.2205621,4.38499975,6.32,-8.54500005,6.775,1.506373575949367,financial-services,-1.31108370926023
packaging-containers,6,113409387520.0,2.812197865820454,2.471634310662396,2.4366126229775187,-7.816096334439138,-7.656401026821645,-5.866705958000173,3.9540204693734093,4.171033433505291,4.323900943171887,66.66666666666666,11.268653074989455,10.607709367724365,9.48516085017097,5.984804863221993,8.077237741026554,10.104920595535527,33.333333333333336,83.33333333333333,0.0,-10.652039620440856,18.498147000000003,13.4386205,3.0746827999999997,13.069999999999999,18.945,5.1,20.69,0.7093491950382687,consumer-cyclical,-1.411287687127727
asset-management,13,761260745728.0,-1.9823268088263735,-2.419997545061294,-2.2440932867095253,-8.224338858938474,-6.321777276718635,-6.436054531914315,3.6197151590084298,3.5022279524919924,4.269383003780147,69.23076923076923,16.830599619405362,22.926875043240564,18.845848923067866,-12.061609558485397,8.997619463559033,3.4516801899651783,7.6923076923076925,61.53846153846154,7.6923076923076925,-10.217634805312203,16.180912,11.564166,2.0068422,18.42,14.26,14.44,17.25,0.810951332398317,financial-services,-1.7455929974927065
packaged-foods,7,97924965376.0,-2.355298687799834,-2.371807971034945,-2.2126068858310366,-8.949164840821577,-9.986008275797168,-10.81032610532764,3.45662618330016,2.943228483086229,5.2507936569835545,71.42857142857143,5.080630900085836,3.8757090740019664,-0.8685256038607703,-13.686633645647195,-13.970769234607532,-13.973670245834668,14.285714285714286,28.571428571428573,0.0,-23.447921410641058,8.222961,11.127804,6.565449399999999,-13.489999999999998,4.46,-16.540001,-9.8400004,2.49502331838565,consumer-defensive,-1.9086819732009763
entertainment,10,727980503040.0,-3.547302736158431,-2.6866525980964417,-4.026894534569547,-5.271626344515845,-3.617587194479398,-4.660179886890603,3.406679350015418,10.74413121069333,9.59396550136592,80.0,-6.755138801950855,8.159097496521303,11.759502796586819,-21.880429612438903,-3.0052040935748767,-3.82604601771116,70.0,70.0,10.0,-12.2064537961108,22.049004500000002,19.136231,0.76886578,10.5050002,11.31,45.86,21.965,1.6919744473916887,communication-services,-1.9586288064857182
beverages-non-alcoholic,4,690061250560.0,-1.0036119728114468,-1.0091637820946797,-0.45967940114056693,-4.262296020236245,-4.690366915911065,-4.759205769260727,3.154226061215537,0.40954511721611464,-1.3482910091988765,50.0,9.708845847075477,12.135836056899896,19.578587342885157,22.562560315164816,22.858562497434033,28.53868014237323,50.0,75.0,25.0,-8.673571589418778,29.2189465,19.872192,2.6960418,10.954999800000001,8.6749998,9.76,12.2550003,2.2907426464724527,consumer-defensive,-2.211082095285599
computer-hardware,7,1316955791360.0,10.586520477947703,10.55890258712802,12.777943426619775,13.278321476135368,11.567725802260021,8.890514788116711,2.5344405202937015,10.057088358442707,24.669871836703482,57.14285714285714,117.03926450510363,115.69386540709326,92.49305404257598,206.9708390678828,395.8179675898512,319.21754394602766,85.71428571428571,100.0,14.285714285714286,-15.862685197281367,25.552338,14.633287,0.11156480999999999,96.589994,23.18,153.17999,104.0,0.6312893442622951,technology,-2.8308676362074348
oil-gas-equipment-services,3,161562388480.0,-2.9438450851220987,-3.5971348149342295,-3.8376417006933616,-5.368662738898089,-5.836620068220481,-6.6144488461750806,2.440249819988849,0.5209072782498714,-2.0609311045092116,33.33333333333333,-2.053922317917034,-4.164034419081167,-7.78373581794728,41.06448281058901,42.272209634816726,48.89004135118877,0.0,33.333333333333336,0.0,-17.234350228804786,18.411575,16.112528,2.0365379999999997,-2.9000001,23.51,-9.35,-6.54,0.6853478519778817,energy,-2.9250583365122873
insurance-brokers,6,262064575488.0,-6.236993211859232,-6.416318735017958,-6.381246632506043,-13.911317053188055,-13.492004135023159,-12.092169167440082,2.254153499686584,4.773436814400217,5.478088519955127,83.33333333333334,-2.2513017301279525,-1.9916109070386174,-2.3689372984054713,-18.018445865921386,-19.576150511049292,-20.176061840794702,0.0,16.666666666666668,0.0,-24.845635459574677,20.353561499999998,14.5035635,1.095798125,8.535,9.17,8.46,5.985,1.581631788440567,financial-services,-3.111154656814552
farm-products,3,79048007680.0,-5.469971401594076,-5.3258832459784164,-4.930151532582472,-2.186483623833302,-3.590114371692621,-2.7495363748295643,1.9977374789060587,0.0664849164670985,-0.15011500321754356,33.33333333333333,4.131945742112797,1.0657113908001912,-7.830506149365668,27.67881178566023,26.688535456654144,37.462742932763746,33.333333333333336,33.333333333333336,0.0,-15.764726502592563,23.706898,12.553476,2.4706164,27.01,11.3800004,9.2700005,57.47,1.1031173601716218,consumer-defensive,-3.3675706775950776
industrial-distribution,3,123346931200.0,0.6439375816720494,0.7757052395363211,1.0427936514439295,-3.226797273951576,-5.311890638009417,-3.3240867098857985,1.8138910133852715,-2.0707081526625926,-3.739739065871528,33.33333333333333,14.971875672838419,5.99051555462928,13.887816071851788,11.28059731043589,-2.8592080555051025,7.540613292936782,33.333333333333336,66.66666666666667,33.333333333333336,-9.338784706749792,32.338005,24.853416,1.8529707999999998,15.810001000000002,9.879999999999999,14.41,16.17,2.5155279352226723,industrials,-3.5514171431158648
specialty-retail,5,109700444160.0,1.9321895052657245,1.7223509712355423,1.7526414423457704,-6.314824619402937,-3.9562437266179673,-2.0582537890229347,1.7013907203904166,6.616723542871483,11.411306110746121,80.0,4.584672753088892,9.677326970828096,7.314332423598735,-0.46240306962634925,5.42834639702021,7.2685566384198985,60.0,40.0,20.0,-21.640590304130058,20.177048,17.265215,1.2502201,11.3000005,9.1000006,8.8199995,8.140001,1.8972762485312367,consumer-cyclical,-3.6639174361107196
