Ticker,ret_3m,ret_12m,Short Name,Sector,Industry,Market Cap
ON,-34.33942739669805,58.196546228811606,ON Semiconductor Corporation,technology,semiconductors,29642719232
APTV,-32.989991864299164,-44.19801424465255,Aptiv PLC,consumer-cyclical,auto-parts,9637198848
CASY,-32.779120014201645,14.691341343185726,"Caseys General Stores, Inc.",consumer-cyclical,specialty-retail,22747873280
APP,-32.306666423497035,-42.876288220425685,Applovin Corporation,communication-services,advertising-agencies,108413378560
LII,-29.033666411581336,-33.804130321501226,"Lennox International, Inc.",industrials,building-products-equipment,12650590208
DECK,-28.941160539147436,-28.791729958065392,Deckers Outdoor Corporation,consumer-cyclical,footwear-accessories,11067498496
GNRC,-27.334545039253733,1.0702183909610197,Generac Holdlings Inc.,industrials,specialty-industrial-machinery,11033464832
ODFL,-27.32110047490075,23.646610067487295,"Old Dominion Freight Line, Inc.",industrials,trucking,37280645120
ROL,-25.82524181671131,-37.494213196979786,"Rollins, Inc.",consumer-cyclical,personal-services,16710179840
ALB,-25.677776896411764,63.001098625966215,Albemarle Corporation,basic-materials,specialty-chemicals,13867954176
KLAC,-25.0119575620091,94.7336929313356,KLA Corporation,technology,semiconductor-equipment-materials,236014616576
TJX,-24.903397368342084,-8.796326562704992,"TJX Companies, Inc. (The)",consumer-cyclical,apparel-retail,139214848000
CDNS,-24.592171136385755,-14.521609263396185,"Cadence Design Systems, Inc.",technology,software-application,79812878336
TTD,-24.126981788251413,-68.9206754610294,"The Trade Desk, Inc.",communication-services,advertising-agencies,6738081792
BLDR,-23.164058589322323,-56.95543748172209,"Builders FirstSource, Inc.",industrials,building-products-equipment,6495598080
