Ticker,ret_3m,ret_12m,Short Name,Sector,Industry,Market Cap
MRNA,199.27868452228478,623.2963518783189,"Moderna, Inc.",healthcare,biotechnology,72884502528
WDAY,63.493442385147716,-19.428987389063224,"Workday, Inc.",technology,software-application,45363429376
VEEV,63.364844213894365,-6.076534203382911,Veeva Systems Inc.,healthcare,health-information-services,42243637248
PLTR,58.517575261985044,1.425520101001343,Palantir Technologies Inc.,technology,software-infrastructure,444541796352
IQV,57.68916292784165,44.26343049720245,"IQVIA Holdings, Inc.",healthcare,diagnostics-research,44456812544
MPC,57.229589744407505,113.62491352722755,Marathon Petroleum Corporation,energy,oil-gas-refining-marketing,109431791616
VLO,55.36668457761631,136.8319644437494,Valero Energy Corporation,energy,oil-gas-refining-marketing,108588965888
CRL,52.792055748057635,83.48026672980062,Charles River Laboratories Inte,healthcare,diagnostics-research,13733100544
CRM,52.3206974282334,-4.788275538740006,"Salesforce, Inc.",technology,software-application,191989432320
ZBRA,52.11592776993044,13.521057214565468,Zebra Technologies Corporation,technology,communication-equipment,17108006912
PSX,51.54566667963443,103.81114924655685,Phillips 66,energy,oil-gas-refining-marketing,102952091648
CRWD,46.89537909571839,99.0329349378942,"CrowdStrike Holdings, Inc.",technology,software-infrastructure,256045137920
ACN,46.389326807403506,-21.774790849781912,Accenture plc,technology,information-technology-services,112426000384
EPAM,45.06438002461965,-28.591547314506805,"EPAM Systems, Inc.",technology,information-technology-services,5754011648
CTSH,44.13692746214002,-10.361375827807429,Cognizant Technology Solutions ,technology,information-technology-services,26432067584
