Sector,cw_1M,cw_3M,cw_12M,rank_1M,rank_3M,rank_12M,rank_change_12m_to_3m,rank_change_3m_to_1m,trend,label
energy,-2.6462332814325973,14.166547168093203,44.20098351112418,5.0,1.0,1.0,0.0,-4.0,stable,Energy
healthcare,-2.4520901158894937,11.932576710491304,26.430890904537698,4.0,2.0,3.0,1.0,-2.0,stable,Healthcare
technology,6.826813798834608,10.431745007374559,32.72881722707177,1.0,3.0,2.0,-1.0,2.0,stable,Technology
communication-services,4.65479634928867,4.299411115646268,17.500543698081493,2.0,4.0,5.0,1.0,2.0,stable,Communication Services
financial-services,-5.1192504347249095,1.845922937607014,2.9496620447722277,10.0,5.0,9.0,4.0,-5.0,improving,Financial Services
consumer-cyclical,-3.1867908814235513,1.0941219622107257,-3.1439141064865117,6.0,6.0,11.0,5.0,0.0,improving,Consumer Cyclical
basic-materials,-4.252829098134847,0.20434856786726296,13.765769315661025,7.0,7.0,6.0,-1.0,0.0,stable,Basic Materials
consumer-defensive,-0.7836685759311957,-1.3549673182668198,8.48571771711979,3.0,8.0,8.0,0.0,5.0,stable,Consumer Defensive
real-estate,-4.502426306201068,-3.6551550929478704,8.728998926544772,8.0,9.0,7.0,-2.0,1.0,stable,Real Estate
industrials,-5.121836491316234,-4.402005235451956,17.655847908193234,11.0,10.0,4.0,-6.0,-1.0,deteriorating,Industrials
utilities,-4.732473580652075,-9.526742555513234,-1.558316382125069,9.0,11.0,10.0,-1.0,2.0,stable,Utilities
