Sector,n,market_cap,cw_1W,ew_1W,med_1W,cw_1M,ew_1M,med_1M,cw_3M,ew_3M,med_3M,pct_positive_3M,cw_6M,ew_6M,med_6M,cw_12M,ew_12M,med_12M,pct_above_50dma,pct_above_200dma,pct_within_5pct_of_52wh,median_pct_from_52wh,median_pe,median_fwd_pe,median_div_yield,median_cy_growth,median_ny_growth,median_cq_growth,median_nq_growth,fwd_pe_over_ny_growth,weight_pct,rs_3m,rs_12m,label,style
energy,21,2280435562496.0,-6.141768376744084,-5.865667029715389,-5.150424459819758,-2.6462332814325973,-3.4393206059092267,-3.8762000319943812,14.166547168093203,11.864520835284138,5.48916132184305,61.904761904761905,4.183993476254866,5.043066221548832,-0.19122655116562415,44.20098351112418,46.632719098508005,35.27890257918862,38.095238095238095,76.19047619047619,0.0,-9.290412142801706,16.610619,13.024902,2.2411128999999996,42.6,-7.969999999999999,36.64,57.919997,-1.6342411543287332,3.101918321378932,8.801239011592067,25.303113414724862,Energy,cyclical
healthcare,58,6270219445248.0,1.6762589683589457,1.0571641057174481,0.7848599263710954,-2.4520901158894937,-1.8575355888526959,-1.5124594234582678,11.932576710491304,16.77619971325649,13.516587233313338,77.58620689655173,18.204787082673302,23.018063630795478,17.907962329822556,26.430890904537698,32.228431591281755,25.972927421582327,58.62068965517241,72.41379310344827,36.206896551724135,-8.42582412897333,25.507122,15.851888500000001,0.5061909050000001,8.92,10.48,5.5300001000000005,9.520000000000001,1.5125847805343513,8.52894459994869,6.567268553990168,7.533020808138382,Healthcare,defensive
technology,83,27004631656448.0,6.069132898791962,3.583963721591642,2.377567665797664,6.826813798834608,2.254143333149361,1.155567149425396,10.431745007374559,9.665904175666123,13.89687340270429,60.24096385542169,39.02133031819197,37.33976222351298,24.011831599864443,32.72881722707177,74.30145453812142,14.5416794242894,62.65060240963855,65.06024096385542,12.048192771084338,-18.680556548629056,29.67264,17.91202,0.18059432,20.919999999999998,17.299999999999997,19.770001,18.290001,1.0353768786127169,36.73252736224704,5.066436850873423,13.830947130672456,Technology,cyclical
communication-services,22,11957686847488.0,1.9341243677044373,-3.859783521823005,-4.411176305198566,4.65479634928867,-3.375152868739418,-4.660179886890603,4.299411115646268,2.8747298253457174,1.0719101141686727,63.63636363636363,12.50757285546289,-1.6640458973169914,4.5701060976808705,17.500543698081493,-8.87033748522002,-4.789482671861056,50.0,54.54545454545455,9.090909090909092,-14.476496574810383,17.2188965,14.775832000000001,0.6410216950000001,12.22,8.175,18.129998,18.0700005,1.8074412232415902,16.265212016311892,-1.0658970408548685,-1.3973263983178228,Communication Services,cyclical
financial-services,70,7271813986304.0,-3.2397351286448717,-2.973748203295294,-3.026714070436276,-5.1192504347249095,-5.391588398408039,-5.342565395731863,1.845922937607014,2.8401562084268814,1.503452343344125,52.85714285714286,13.55686818392805,13.04106415396484,11.050402430205853,2.9496620447722277,5.0146549117595685,6.8623160288406755,11.428571428571429,52.857142857142854,4.285714285714286,-11.761337008880457,14.421025499999999,12.336876499999999,1.69065605,13.624999999999998,10.6400006,7.865,9.465,1.159480808675894,9.891344182111924,-3.519385218894122,-15.948208051627088,Financial Services,cyclical
consumer-cyclical,54,6736560888320.0,2.2811501284810687,0.1965265940966706,0.27174954371089743,-3.1867908814235513,-7.9218098533786865,-7.10415043008355,1.0941219622107257,-3.8510841819377064,-2.856844536732445,38.88888888888889,5.890127096787601,-1.5424137501639428,1.0159850098904577,-3.1439141064865117,-5.13697470431321,-5.892414274728303,16.666666666666668,31.48148148148148,1.8518518518518519,-22.57133476042432,20.036732999999998,15.953228,1.225206075,8.9,10.685,5.1,9.33,1.4930489471221338,9.163276518847567,-4.271186194290411,-22.04178420288583,Consumer Cyclical,cyclical
basic-materials,20,1088493064192.0,0.2286119275451748,-0.9580257438249029,-0.06728852357368864,-4.252829098134847,-4.942787120173687,-4.745308846983748,0.20434856786726296,0.2792617839354983,1.8470611345520749,55.00000000000001,7.079432578584721,5.999941031880331,4.185834899204388,13.765769315661025,21.436632539058532,17.761171183590218,20.0,50.0,5.0,-14.176793857050857,20.4194795,16.1985015,1.3949176,13.52,11.81,6.1850000000000005,32.570001000000005,1.3715919983065197,1.4806016157788193,-5.160959588633873,-5.132100780738291,Basic Materials,cyclical
consumer-defensive,34,3435798292480.0,-0.13141254985020723,-1.4136256016578024,-1.1592184330978972,-0.7836685759311957,-5.685465604963368,-5.138671215657952,-1.3549673182668198,0.6803343530532494,-0.1309135414329865,44.11764705882353,1.396631516576896,3.0732124384610238,0.8164454301661683,8.48571771711979,5.561050801363798,-0.3501808657333072,32.35294117647059,41.1764705882353,5.882352941176471,-16.07220386204696,22.381678,14.5346815,3.0704534,7.81000025,6.085,3.6799999999999997,5.7649999,2.388608299096138,4.673478105358592,-6.720275474767956,-10.412152379279526,Consumer Defensive,defensive
real-estate,29,1157100437504.0,-0.09547874774217258,-0.9247359031439717,-1.299354832733135,-4.502426306201068,-5.446263685512322,-4.965273682973903,-3.6551550929478704,-4.921999430183542,-5.708216633773189,20.689655172413794,7.096145504197948,5.997008384638897,5.865108008176256,8.728998926544772,2.8120102603325576,1.4683523339072746,10.344827586206897,41.37931034482759,3.4482758620689653,-12.800454347490998,30.195557,32.031647,4.0729567,15.18,4.17,3.9300002000000003,7.305000000000001,7.681450119904077,1.5739234669892281,-9.020463249449007,-10.168871169854544,Real Estate,defensive
industrials,74,5018038241792.0,1.1622975039003558,0.6268523776252797,0.5108903369384965,-5.121836491316234,-5.666965071309544,-5.01664563562938,-4.402005235451956,-3.185614954668255,-3.3305626781680253,37.83783783783784,5.431684142720861,3.4127072459926655,3.7004220253080145,17.655847908193234,12.663378891787408,10.847657015100632,16.216216216216218,44.5945945945946,8.108108108108109,-17.254999145801374,27.6676005,19.984067,1.1682830499999999,11.9799994,12.43,12.060001,14.249999999999998,1.6077286403861626,6.825689361973379,-9.767313391953092,-1.2420221882060822,Industrials,cyclical
