Ticker,Short Name,Market Cap,Sector,Industry,PE Ratio,Dividend Yield,Forward P/E Ratio,50日均差%,200日均差%,CurrentY成長,NextY成長,CurrentQ成長,NextQ成長,stock,ethnic_group
AAPL,Apple Inc.,4958372495360,technology,consumer-electronics,39.00689,0.0030975277,35.4327,0.059680894,0.18542875,0.1822,0.0864,0.0689,0.0228,,
ABBV,AbbVie Inc.,468657176576,healthcare,drug-manufacturers-general,74.918076,0.025824258,16.303019,0.037277978,0.1540694,0.4011,0.1611,1.0668,0.42720002,,
ABNB,"Airbnb, Inc.",96889503744,consumer-cyclical,travel-services,36.858772,0.0,26.153772,-0.033234872,0.13911851,0.3185,0.1753,0.2975,0.4954,,
ABT,Abbott Laboratories,179423461376,healthcare,medical-devices,33.556637,0.024082346,17.095186,-0.02361994,-0.013284822,0.0718,0.098900005,0.0919,0.0919,,
ACGL,Arch Capital Group Ltd.,32399704064,financial-services,insurance-diversified,7.4295774,0.0,9.737653,-0.04397036,-0.013934228,-0.0475,0.0403,-0.3343,-0.1741,,
ACN,Accenture plc,112426000384,technology,information-technology-services,14.662411,0.035033043,12.518739,0.06808866,-0.080241315,0.072399996,0.0582,0.05,0.0123000005,,
ADBE,Adobe Inc.,94704377856,technology,software-application,13.295201,0.0,8.609387,-0.07142662,-0.09965813,0.1691,0.1304,0.1512,0.2292,,
ADI,"Analog Devices, Inc.",189159817216,technology,semiconductors,46.30723,0.011201045,23.878586,0.04613141,0.101811334,0.65529996,0.2678,0.7032,0.5398,,
ADM,Archer-Daniels-Midland Company,39684550656,consumer-defensive,farm-products,22.497267,0.024706164,14.521738,-0.002819371,0.12123154,0.6035,0.0309,0.703,0.5747,,
ADP,"Automatic Data Processing, Inc.",107117936640,technology,software-application,24.669718,0.024598058,20.124731,0.002511167,0.13329145,0.102299996,0.093100004,0.111899994,0.11359999,,
ADSK,"Autodesk, Inc.",45900578816,technology,software-application,28.411383,0.0,15.466861,-0.05908788,-0.09636273,0.2092,0.1258,0.14899999,0.1228,,
AEE,Ameren Corporation,28143886336,utilities,utilities-regulated-electric,17.897888,0.028675243,17.474562,-0.060776945,-0.057050016,0.0089,0.0809,-0.003,-0.2482,,
AEP,American Electric Power Company,65474670592,utilities,utilities-regulated-electric,20.84402,0.031492125,17.54015,-0.048554074,-0.052373234,0.069,0.0744,0.0598,0.21129999,,
AES,The AES Corporation,10573160448,utilities,utilities-diversified,5.5505614,0.04747134,6.2518454,0.003127144,0.012236286,-0.0225,0.0363,0.2387,-0.2642,,
AFL,AFLAC Incorporated,57453940736,financial-services,insurance-life,12.362459,0.02066331,15.196036,-0.04976543,-0.0021507018,-0.0634,0.075,-0.28170002,0.0889,,
AIG,"American International Group, I",39311110144,financial-services,insurance-diversified,13.718978,0.02481889,8.556298,-0.027998956,-0.027924262,0.1348,0.0921,-0.1808,0.0763,,
AIZ,"Assurant, Inc.",13370686464,financial-services,insurance-property-casualty,12.976543,0.01240176,11.568073,-0.039036267,0.09030197,0.1262,0.0525,-0.21040002,-0.0414,,
AJG,Arthur J. Gallagher & Co.,59073781760,financial-services,insurance-brokers,38.217247,0.0114111835,15.47605,-0.09155057,-0.013857333,0.2332,0.1295,0.3205,0.1844,,
AKAM,"Akamai Technologies, Inc.",17007422464,technology,software-infrastructure,42.876812,0.0,16.408104,0.039419588,0.07054425,-0.0598,0.0774,-0.096599996,-0.0155,,
ALB,Albemarle Corporation,13782990848,basic-materials,specialty-chemicals,432.5926,0.01434644,10.338799,-0.06619763,-0.25253376,15.6392,-0.0232,14.4689,5.1891,,
ALGN,"Align Technology, Inc.",10889699328,healthcare,medical-instruments-supplies,26.612844,0.0,12.215754,-0.07430452,-0.1032356,0.0744,0.1113,0.0698,-0.0187,,
